liters,level avg.,level std.,ref avg.,ref std.,out temp.,res temp.
0.0,631.51,0.5,632.38,0.49,29.5,28.5
0.0,631.56,0.5,632.43,0.5,30.0,28.5
0.0,631.42,0.5,632.41,0.49,30.0,28.5
0.0,631.46,0.52,632.43,0.52,30.0,28.5
0.0,631.6,0.49,632.36,0.48,30.0,28.5
0.5,631.66,0.48,632.49,0.5,30.0,28.5
0.5,631.59,0.51,632.47,0.5,30.0,28.5
0.5,631.74,0.44,632.59,0.49,30.0,28.5
0.5,631.66,0.5,632.61,0.49,29.5,28.5
0.5,631.64,0.48,632.65,0.48,30.0,28.5
1.0,631.51,0.54,625.44,0.5,30.0,28.5
1.0,631.67,0.49,625.21,0.41,30.0,28.5
1.0,631.66,0.48,625.08,0.27,30.0,28.5
1.0,631.67,0.49,625.13,0.37,29.5,28.5
1.0,631.57,0.5,625.01,0.36,30.0,28.5
1.5,631.59,0.49,609.89,0.37,30.0,28.5
1.5,631.72,0.45,609.77,0.42,30.0,28.5
1.5,631.56,0.5,609.63,0.51,29.5,28.5
1.5,631.51,0.54,609.43,0.5,30.0,28.5
1.5,631.68,0.47,609.3,0.46,30.0,28.5
2.0,631.61,0.49,594.85,0.36,30.0,28.5
2.0,631.56,0.52,594.7,0.46,30.0,28.5
2.0,631.63,0.51,594.59,0.49,30.0,28.5
2.0,631.69,0.46,594.66,0.5,29.5,28.5
2.0,631.64,0.48,594.61,0.49,29.5,28.5
2.5,631.56,0.52,579.66,0.48,29.5,28.5
2.5,631.56,0.52,579.66,0.48,30.0,28.5
2.5,631.6,0.51,579.63,0.51,30.0,28.5
2.5,631.53,0.52,577.79,1.03,30.0,28.5
2.5,631.64,0.48,577.09,0.35,30.0,28.5
3.0,631.66,0.5,564.74,0.5,30.0,28.5
3.0,631.61,0.51,563.87,0.39,30.0,28.0
3.0,631.61,0.53,563.36,0.48,30.0,28.0
3.0,631.42,0.54,563.16,0.44,30.0,28.5
3.0,631.59,0.53,563.34,0.5,30.0,28.0
3.5,631.48,0.56,543.47,0.54,30.0,28.0
3.5,631.61,0.49,543.32,0.51,30.0,28.0
3.5,631.56,0.5,543.18,0.39,30.0,28.0
3.5,631.49,0.54,543.06,0.28,30.0,28.0
3.5,631.56,0.52,542.95,0.39,29.5,28.0
4.0,631.54,0.5,523.48,0.59,30.0,28.0
4.0,631.42,0.54,522.9,0.39,30.0,28.0
4.0,631.54,0.52,522.9,0.33,30.0,28.0
4.0,631.54,0.5,522.89,0.35,30.0,28.0
4.0,631.42,0.55,522.79,0.46,30.0,28.0
4.5,631.52,0.56,507.85,0.41,30.0,28.0
4.5,631.45,0.52,507.67,0.47,30.0,28.0
4.5,631.44,0.56,507.6,0.49,30.0,28.0
4.5,631.55,0.52,507.59,0.49,30.0,28.0
4.5,631.6,0.49,507.42,0.5,30.0,28.0
5.0,631.43,0.52,492.47,0.58,30.0,28.0
5.0,631.41,0.49,491.41,0.51,30.0,28.0
5.0,631.49,0.52,491.17,0.4,30.0,28.0
5.0,631.41,0.55,489.66,1.08,30.0,28.0
5.0,631.4,0.53,488.67,0.49,30.0,28.0
5.5,631.43,0.56,466.85,0.88,29.5,28.0
5.5,631.34,0.55,466.06,0.37,30.0,28.0
5.5,631.37,0.58,465.97,0.41,30.0,28.0
5.5,631.37,0.54,465.77,0.42,29.5,28.0
5.5,631.4,0.57,465.67,0.47,29.5,28.0
6.0,631.26,0.52,443.12,0.38,29.5,28.0
6.0,631.42,0.59,442.25,1.05,30.0,28.0
6.0,631.3,0.48,440.48,0.5,29.5,28.0
6.0,631.38,0.51,440.49,0.52,29.5,28.0
6.0,631.37,0.53,440.19,0.39,29.5,28.0
